id,year,pp,empl,x1,x2,x3,x4,x5,x6,y0,y1,y2,nace42,nace43,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,sales,costs,assets,beta,omega,mu,pp1,pp2,pp3,pp4
47666374,2014,1,60,.36030814,.38489482,.36012727,.22726388,.19811141,.27548,.31487373,.36450565,.40139225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.807571,18.074831,16.555164,.61545545,6.9855351,1.4335119,1,0,0,1
47666374,2015,1,60,.38489482,.36012727,.22726388,.19811141,.27548,.31487373,.36450565,.40139225,.34870654,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.764952,17.955132,16.693846,.60663217,6.7999682,1.255161,1,1,0,0
47666374,2016,1,60,.36012727,.22726388,.19811141,.27548,.31487373,.36450565,.40139225,.34870654,.40204704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.830788,18.09263,16.407867,.62112433,6.8416886,1.2190982,1,1,1,0
47666374,2017,1,60,.22726388,.19811141,.27548,.31487373,.36450565,.40139225,.34870654,.40204704,.3845284,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.888443,18.026459,16.520214,.61501944,6.887989,1.3171628,1,1,1,1
47666374,2018,1,60,.19811141,.27548,.31487373,.36450565,.40139225,.34870654,.40204704,.3845284,.37474307,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.582123,17.88188,16.428587,.61327481,6.8875952,1.3700863,1,1,1,1
47666374,2019,1,60,.27548,.31487373,.36450565,.40139225,.34870654,.40204704,.3845284,.37474307,.33838522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.715103,18.119627,16.31711,.62516004,7.02387,1.4398021,1,1,1,1
47666374,2020,1,60,.31487373,.36450565,.40139225,.34870654,.40204704,.3845284,.37474307,.33838522,.33827034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.238674,18.512455,16.653788,.62688321,7.1605844,1.4939032,1,1,1,1
47666374,2021,1,60,.36450565,.40139225,.34870654,.40204704,.3845284,.37474307,.33838522,.30013064,.33531055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.819759,18.073002,16.861904,.60484356,6.9446959,1.4172332,1,1,1,1
48041122,2010,0,51,,,.27324113,.27673876,.24682131,.31339315,.2757836,.28416473,.2276929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.51602,17.855547,16.583904,.60704112,6.8229251,1.3142171,0,0,0,0
48041122,2011,0,51,,.27324113,.27673876,.24682131,.31339315,.2757836,.28416473,.2276929,.19086342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.724934,17.625315,17.071308,.58248079,6.6929078,1.3188218,0,0,0,0
48041122,2012,0,51,.27324113,.27673876,.24682131,.31339315,.2757836,.28416473,.2276929,.19086342,.22314632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.538206,17.485592,17.635513,.55834401,6.533659,1.2799504,0,0,0,0
48041122,2013,0,51,.27673876,.24682131,.31339315,.2757836,.28416473,.2276929,.19086342,.22314632,.30215609,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.295126,17.362242,18.119053,.53753603,6.4729066,1.3680593,0,0,0,0
48041122,2014,0,51,.24682131,.31339315,.2757836,.28416473,.2276929,.19086342,.22314632,.30215609,.29029617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.55727,17.479937,18.108097,.54189849,6.4839902,1.3175627,0,0,0,0
48041122,2015,0,51,.31339315,.2757836,.28416473,.2276929,.19086342,.22314632,.30215609,.29029617,.40856394,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.611391,17.506603,18.00914,.54620504,6.5196228,1.3286518,0,0,0,0
48041122,2016,0,51,.2757836,.28416473,.2276929,.19086342,.22314632,.30215609,.29029617,.40856394,.43682528,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.648315,17.580627,17.941296,.55104524,6.5031381,1.2556996,0,0,0,0
48041122,2017,1,51,.28416473,.2276929,.19086342,.22314632,.30215609,.29029617,.40856394,.43682528,.38748276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.441916,17.496918,18.097496,.54283816,6.4075971,1.2102941,0,0,0,0
48041122,2018,1,51,.2276929,.19086342,.22314632,.30215609,.29029617,.40856394,.43682528,.38748276,.38812193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.479862,17.620947,18.083822,.5475086,6.4908934,1.2500035,1,0,0,0
48041122,2019,1,51,.19086342,.22314632,.30215609,.29029617,.40856394,.43682528,.38748276,.38812193,.3098636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.346281,17.398758,18.276821,.53334635,6.4481497,1.3527724,1,1,0,0
48041122,2020,1,51,.22314632,.30215609,.29029617,.40856394,.43682528,.38748276,.38812193,.3098636,.34659404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.443012,17.555994,18.217691,.54070473,6.5096793,1.3368233,1,1,1,0
48041122,2021,1,51,.30215609,.29029617,.40856394,.43682528,.38748276,.38812193,.3098636,.31935352,.34785229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.46364,17.52393,18.198549,.5402773,6.618556,1.5046555,1,1,1,1
49975561,2010,0,86,,,.21957521,.16402519,.18457608,.15251474,.13579923,.091512471,.10300303,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.080051,19.656998,15.272094,.71316397,7.3395882,1.2455475,0,0,0,0
49975561,2011,0,86,,.21957521,.16402519,.18457608,.15251474,.13579923,.091512471,.10300303,.23576055,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.407063,19.922009,15.08903,.72843462,7.3406525,1.178244,0,0,0,0
49975561,2012,0,86,.21957521,.16402519,.18457608,.15251474,.13579923,.091512471,.10300303,.23576055,.22244932,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.182621,19.764835,15.075892,.72356391,7.325036,1.2027085,0,0,0,0
49975561,2013,1,86,.16402519,.18457608,.15251474,.13579923,.091512471,.10300303,.23576055,.22244932,.2860533,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.345098,18.757919,14.885343,.69601935,7.0452399,1.1647596,0,0,0,0
49975561,2014,1,86,.18457608,.15251474,.13579923,.091512471,.10300303,.23576055,.22244932,.2860533,-.0088670617,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.471573,18.89835,15.320576,.6858055,7.0648227,1.1454519,1,0,0,0
49975561,2015,1,86,.15251474,.13579923,.091512471,.10300303,.23576055,.22244932,.2860533,-.0088670617,.30250931,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.772974,19.246174,16.342432,.66243869,7.0914011,1.0958304,1,1,0,0
49975561,2016,0,86,.13579923,.091512471,.10300303,.23576055,.22244932,.2860533,-.0088670617,.30250931,.29522145,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.700916,19.254419,15.889054,.67831135,7.1193271,1.1084948,1,1,1,0
49975561,2017,1,86,.091512471,.10300303,.23576055,.22244932,.2860533,-.0088670617,.30250931,.29522145,.31614238,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.578728,18.926456,16.360298,.65099722,7.1415491,1.2658712,0,1,1,1
49975561,2018,1,86,.10300303,.23576055,.22244932,.2860533,-.0088670617,.30250931,.29522145,.31614238,.27678856,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.547476,19.15497,16.608994,.65018207,7.1827993,1.2491325,1,0,1,1
49975561,2019,1,86,.23576055,.22244932,.2860533,-.0088670617,.30250931,.29522145,.31614238,.27678856,.025584923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.184158,19.490612,16.691671,.6587047,7.3407116,1.3311634,1,1,0,1
49975561,2020,1,86,.22244932,.2860533,-.0088670617,.30250931,.29522145,.31614238,.27678856,.025584923,.21523559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.796755,19.348391,17.381866,.63014996,6.9573083,.99117213,1,1,1,0
49975561,2021,0,86,.2860533,-.0088670617,.30250931,.29522145,.31614238,.27678856,.025584923,.27555442,.22072349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.893467,19.259661,17.31159,.62956232,7.2464314,1.3532503,1,1,1,1
49977121,2010,0,45,,,.28893489,.28614679,.22061761,.24714574,.21076427,.25977936,.24939376,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.824835,17.002333,15.666842,.60968912,6.6336164,1.3350048,0,0,0,0
49977121,2011,0,45,,.28893489,.28614679,.22061761,.24714574,.21076427,.25977936,.24939376,.26550585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.949188,17.20842,16.254637,.59645152,6.6469364,1.3312879,0,0,0,0
49977121,2012,0,45,.28893489,.28614679,.22061761,.24714574,.21076427,.25977936,.24939376,.26550585,.18558201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.052305,17.531277,16.962612,.58303475,6.616334,1.2468466,0,0,0,0
49977121,2013,1,45,.28614679,.22061761,.24714574,.21076427,.25977936,.24939376,.26550585,.18558201,.2187175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.867802,17.253229,16.958616,.57375634,6.5424185,1.2803657,0,0,0,0
49977121,2014,0,45,.22061761,.24714574,.21076427,.25977936,.24939376,.26550585,.18558201,.2187175,.35788906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.147266,17.550303,17.046209,.58080381,6.6030326,1.2346213,1,0,0,0
49977121,2015,0,45,.24714574,.21076427,.25977936,.24939376,.26550585,.18558201,.2187175,.35788906,.33695227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.748375,17.099165,17.08313,.56425661,6.480998,1.296644,0,1,0,0
49977121,2016,1,45,.21076427,.25977936,.24939376,.26550585,.18558201,.2187175,.35788906,.33695227,.3613326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.521414,16.668198,16.935129,.55475259,6.3281112,1.2832472,0,0,1,0
49977121,2017,1,45,.25977936,.24939376,.26550585,.18558201,.2187175,.35788906,.33695227,.3613326,.2416839,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.314156,17.5063,17.081635,.57809532,6.6373739,1.3040905,1,0,0,1
